"TreeTopology","Netname","netType"
"((((l1:0.3645343338,(l3:0.3063953132,(l6:0.2180724166,l7:0.2180724166)i9:0.08832289663)i8:0.058139020626)i6:0.04434113716,l2:0.40887547101)i5:0.1504204102,(l4:0.2617968939,l5:0.2617968939)i11:0.2974989873)i4:0.3144776253,((l9:0.003192215323,l10:0.003192215323)i13:0.1204140655,l8:0.1236062808)i12:0.7501672258)i3;","BLNF_38.nwk.txt","LN"
"(((l3:0.3058415075,(l5:0.1944045044,l6:0.1944045044)i6:0.1114370031)i5:0.4957985774,(l1:0.6153226201,l2:0.6153226201)i9:0.1863174648)i4:0.2329808064,((l4:0.1988269243,(l8:0.06271017841,l7:0.06271017841)i13:0.13611674596)i11:0.3368186416,(l9:0.04023895739,l10:0.04023895739)i15:0.4954066086)i10:0.4989753254)i3;","LN_55.nwk.txt","LN"
"((((l7:0.08631233226,l8:0.08631233226)i9:1.044731386,l2:1.131043719)i8:0.2316700717,(l3:0.3961622335,((t12:0.2181306606,l5:0.2181306606)i13:0.1719718891,l4:0.3901025497)i12:0.006059683805)i10:0.9665515568)i7:0.2008863082,(l6:0.09511218596,(l9:0.03696020821,l10:0.03696020821)i6:0.05815197775)i5:1.4684879124)i3;","LN_25.nwk.txt","LN"
"((((l4:0.9862746782,(t21:0.2028856189,t34:0.1825195416)i7:0.2690604015)i6:0.08067880994,((l7:0.3853408539,l8:0.3853408539)i12:0.15388909227,(l10:0.01823869719,l11:0.01823869719)i10:0.52099124899)i8:0.527723542)i5:0.3675098143,((l9:0.2249239022,l13:0.22492390219199998)i14:0.2645404185,l12:0.489464320692)i13:0.9449989818)i4:0.4663843138,(l5:0.9477202141,(t28:0.05347767074,l6:0.831626927)i18:0.1160932871)i17:0.9531274021)i3;","BLNF_88.nwk.txt","LN"
"((l2:1.177908089,(l3:0.5380485611,l4:0.5380485611)i7:0.6398595278)i5:0.40913663395,(((l6:0.3382788275,l7:0.3382788275)i11:0.2715718764,((l10:0.1198607581,l11:0.1198607581)i13:0.388814459,l8:0.5086752171)i12:0.1011754868)i10:0.6062262085,(l5:0.4022183413,l9:0.4022183413)i16:0.8138585711)i9:0.37096781039)i3;","LN_8.nwk.txt","LN"
"(((l1:0.5263394613,l2:0.5263394613)i5:0.2822094935,((l9:0.001846091741,l10:0.001846091741)i8:0.2423731689,l3:0.2442192607)i7:0.5643296942)i4:0.6505905075,((l5:0.1522317147,l6:0.1522317147)i15:0.3582233827854,(l4:0.2071736984,(l8:0.1001812266,l7:0.1001812266)i12:0.1069924718)i11:0.30328139899999995)i9:0.9486843648)i3;","LNF_31.nwk.txt","LN"
"(((l2:0.3469030801,(l10:0.001613454889,l11:0.001613454889)i7:0.34528962529999996)i5:0.6363353215,(((l4:0.1290736475,l5:0.1290736475)i15:0.01234755461,(l9:0.03009468635,l8:0.03009468635)i13:0.1113265157)i11:0.0377674736,l3:0.1791886757)i10:0.8040497259599999)i4:0.02855425096,(l7:0.0512478103,l6:0.0512478103)i16:0.9605448423)i3;","LN_18.nwk.txt","LN"
"(((((l6:0.4830370939,l7:0.48303709400000006)i9:0.1244558442,l4:0.6074929382)i7:0.2251931467,((l5:0.4994926446,(l8:0.49633928380000003,(l9:0.05112148342,l10:0.05112148342)i17:0.44521780032)i13:0.003153360807)i12:0.2250544859,l3:0.7245471305)i11:0.1081389543)i6:0.1227382516,l2:0.9554243364)i5:1.3871137,t5:2.3425380365999997)i3;","LN_10.nwk.txt","LN"
"(t2:0.4350262019,((((((l10:0.01423579074,l11:0.01423579074)i9:0.1076736335,l7:0.1219094243)i8:0.249333617,(l4:0.3472827608,l5:0.3472827608)i10:0.02396028051)i7:0.08643365325,(l3:0.3779842062,l6:0.3779842062)i11:0.07969248833)i6:0.03587248307,l2:0.4935491776)i5:0.00668891442,(l8:0.06078465449,l9:0.06078465449)i14:0.4394534376)i4:0.8982474803)i3;","BLNF_10.nwk.txt","LN"
"((((l6:0.6410266072,(l7:0.3942693814,l8:0.3942693813)i11:0.2467572258)i10:0.707104609,l3:1.3481312163)i8:0.4814375636,(t17:0.4896703668,(((l5:0.6800957344,(l9:0.1053187063,l10:0.1053187063)i19:0.5747770281)i18:0.5176775484,t27:0.4558234291)i17:0.2614534837,l4:1.45922676655)i14:0.3566896682)i13:0.01365234514)i7:0.009289620585,(l11:0.06534755581,l12:0.06534755581)i6:1.7735108444399998)i3;","BLNF_7.nwk.txt","LN"
"((l2:1.177908089,(l3:0.5380485611,l4:0.5380485611)i7:0.6398595278)i5:0.40913663395,((t31:0.09872201654,(l5:0.4022183413,l9:0.4022183413)i12:0.3572705138)i10:0.4565880573,((l6:0.3382788275,l7:0.3382788275)i15:0.2715718764,((l10:0.1198607581,l11:0.1198607581)i17:0.388814459,l8:0.5086752171)i16:0.1011754868)i14:0.6062262085)i9:0.37096781039)i3;","LNF_8.nwk.txt","LN"
"(((((l6:0.4830370939,l7:0.48303709400000006)i9:0.1244558442,l4:0.6074929382)i7:0.2251931467,((l5:0.4994926446,(l8:0.49633928380000003,(l9:0.05112148342,l10:0.05112148342)i17:0.44521780032)i13:0.003153360807)i12:0.2250544859,l3:0.7245471305)i11:0.1081389543)i6:0.1227382516,l2:0.9554243364)i5:1.3871137,t5:2.3425380365999997)i3;","LN_10.nwk.txt","LN"
"((l3:2.273725614,((t23:0.5275490486,t33:0.04067212497)i19:0.5657057615,((l5:0.7779994104,(l9:0.1953576721,l10:0.1953576721)i18:0.58264173833)i16:0.1296076295,l4:0.9076070399)i15:0.9170460704)i13:0.4490725034)i12:0.1360089726,((l7:0.268547358,((l11:0.01323796131,l12:0.01323796131)i11:0.2381817715,l8:0.2514197328)i10:0.01712762512)i9:0.1232328619,l6:0.3917802198)i8:2.0179543661)i5;","LNF_3.nwk.txt","LN"
"(((l3:0.4759611011,(l5:0.2299480572,l6:0.2299480572)i7:0.2460130439)i5:0.8914793757,(((l7:0.2052179484,l8:0.2052179484)i13:0.1840863371,l4:0.3893042855)i12:0.03852648781,l10:0.42783077329999997)i10:0.93960970352)i4:0.2554562002,(l9:0.1962502994,(l11:0.02090376524,l12:0.02090376524)i17:0.17534653423)i15:1.426646378)i3;","LN_78.nwk.txt","LN"
"((l3:1.9602086006000001,l6:1.9602086006)i4:0.2766476714,(l4:1.40307431,((l5:0.4481043669,(l7:0.2183428329,(l9:0.1360187121,l10:0.1360187121)i17:0.08232412077)i16:0.229761534)i14:0.4577777798,(l8:0.1864447621,(l11:0.01615228652,l12:0.01615228652)i13:0.1702924755)i12:0.7194373846900001)i10:0.4971921629)i8:0.8337819629)i3;","LN_93.nwk.txt","LN"
"((l3:0.6217086637,((((l6:0.1774377549,(l11:0.04836461603,l12:0.04836461603)i10:0.1290731389)i9:0.05850879073,l9:0.23594654561)i7:0.114735764,l5:0.3506823096)i6:0.1792562975,l10:0.5299386071100001)i5:0.09177005657)i4:2.465193104,(l4:0.3601710057,(l7:0.149846326,l8:0.149846326)i13:0.2103246797)i12:2.726730762)i3;","LN_95.nwk.txt","LN"
"((((l11:0.04902379148,l12:0.04902379148)i7:0.1301019079,(l9:0.05246835216,l10:0.05246835216)i8:0.1266573472)i6:0.2678279018,l5:0.4469536012)i5:1.8450710097,(((l6:0.2164824706,l7:0.2164824706)i12:0.1606875569,(t33:0.05734018299,l8:0.08413815921)i13:0.2930318684)i11:1.179456004,((t18:0.3466495283,l4:1.3732826442000001)i16:0.05350545145,l3:1.426788096)i15:0.1298379364)i10:0.7353985793)i3;","LNF_35.nwk.txt","LN"
"(((l5:0.3366506388,(l10:0.02164537286,l11:0.02164537286)i6:0.3150052659)i5:1.045461724,((l3:0.4183518508,l4:0.4183518508)i8:0.5942129061,(l7:0.3166167,l6:0.3166167)i9:0.695948057)i7:0.3695476058)i4:0.3214399443,((l8:0.2372473777,l9:0.2372473777)i13:0.6482670161,l2:0.8855143938)i11:0.8180379133)i3;","LN_44.nwk.txt","LN"
"((((l2:0.6222677921,l10:0.62226779211)i6:0.1882482356,((l3:0.1609017047,l4:0.1609017047)i11:0.1886085519,l8:0.34951025669)i9:0.4610057711)i5:0.03729769168,(l1:0.6414868886,l9:0.64148688861)i12:0.2063268308)i4:0.2868397386,((l5:0.07426917288,l6:0.07426917288)i16:0.3494364081,l7:0.42370558099)i15:0.710947877)i3;","BLN_31.nwk.txt","LN"
"((((t7:0.07097530831,(l6:0.1848167312,(l7:0.1242816735,l9:0.1242816735)i8:0.06053505776)i7:0.2909238636)i6:0.1017418551,((l10:0.03974280296,l11:0.03974280296)i11:0.4485588691,(((l12:0.02628792958,l13:0.02628792958)i15:0.2449217808,l8:0.27120971039999997)i13:0.1163556304,t30:0.2075795728)i12:0.1007363313)i10:0.08918077781)i5:0.8414732461,(l4:0.2581572864,l5:0.2581572864)i16:1.16079841)i4:0.06382756154,t32:0.03556305723)i3;","BLNF_45.nwk.txt","LN"
"(((((l6:0.05579505912,l7:0.055795059120000004)i7:0.4445733447,l8:0.5003684038)i6:0.3063130993,((l10:6.234093503e-6,l11:6.234093503e-6)i11:0.2102167865,l5:0.2102230206)i10:0.5964584824)i5:0.06974861917,(l2:0.2761062692,(l3:0.2579105474,l4:0.2579105474)i14:0.01819572179)i13:0.6003238531)i4:0.3789472218,(t28:0.11664480302,l9:0.48590976899599997)i15:0.769467575)i3;","LNF_84.nwk.txt","LN"
